algorithm,beta,n,detection_rate,mean_shd,std_shd,mean_beta_hat
ICA-LiNGAM,0.0,10000,0.0,0.15,0.37,0.0
ICA-LiNGAM,0.0,50000,0.0,0.0,0.0,0.0
ICA-LiNGAM,0.05,1000,0.05,2.0,0.46,-0.0037915390343068616
ICA-LiNGAM,0.05,5000,0.5,0.85,0.75,-0.031114563004704266
ICA-LiNGAM,0.05,10000,0.9,0.25,0.44,-0.04311651096249153
ICA-LiNGAM,0.05,50000,1.0,0.0,0.0,-0.049504304999394524
ICA-LiNGAM,0.1,1000,0.35,1.75,0.64,-0.037389254304436105
ICA-LiNGAM,0.1,5000,1.0,0.35,0.49,-0.10077461520381026
ICA-LiNGAM,0.1,10000,1.0,0.15,0.37,-0.09829227353746547
ICA-LiNGAM,0.1,50000,1.0,0.0,0.0,-0.10013983391298642
ICA-LiNGAM,0.15,1000,0.85,1.25,0.64,-0.11003566265388447
ICA-LiNGAM,0.15,5000,1.0,0.35,0.49,-0.15217066160034753
ICA-LiNGAM,0.15,10000,1.0,0.15,0.37,-0.1492415383665036
ICA-LiNGAM,0.15,50000,1.0,0.0,0.0,-0.15034663512160149
ICA-LiNGAM,0.2,1000,0.95,1.15,0.59,-0.16867513408648888
ICA-LiNGAM,0.2,5000,1.0,0.35,0.49,-0.20285318450750323
ICA-LiNGAM,0.2,10000,1.0,0.15,0.37,-0.19970513576333643
ICA-LiNGAM,0.2,50000,1.0,0.0,0.0,-0.20044930311214443
ICA-LiNGAM,0.25,1000,1.0,1.1,0.55,-0.22499541600559342
ICA-LiNGAM,0.25,5000,1.0,0.35,0.49,-0.25325975988819294
ICA-LiNGAM,0.25,10000,1.0,0.15,0.37,-0.24998031924535286
ICA-LiNGAM,0.25,50000,1.0,0.0,0.0,-0.2505106953738302
PC,0.0,1000,0.0,7.05,2.39,
PC,0.0,5000,0.0,5.35,1.31,
PC,0.0,10000,0.0,5.4,2.16,
PC,0.0,50000,0.0,4.8,1.82,
PC,0.05,1000,0.0,7.7,2.05,
PC,0.05,5000,0.0,6.85,2.23,
PC,0.05,10000,0.0,8.4,3.07,
PC,0.05,50000,0.1,9.0,2.0,
PC,0.1,1000,0.0,8.85,1.57,
PC,0.1,5000,0.0,8.6,0.75,
PC,0.1,10000,0.0,9.05,1.5,
PC,0.1,50000,0.65,5.3,3.1,
PC,0.15,1000,0.0,9.45,1.85,
PC,0.15,5000,0.0,8.15,0.37,
PC,0.15,10000,0.0,8.65,1.42,
PC,0.15,50000,0.1,8.25,1.33,
PC,0.2,1000,0.05,9.55,1.9,
PC,0.2,5000,0.05,8.05,1.0,
PC,0.2,10000,0.05,8.45,1.32,
PC,0.2,50000,0.8,5.2,2.82,
PC,0.25,1000,0.15,9.15,2.28,
PC,0.25,5000,0.1,8.25,1.48,
PC,0.25,10000,0.1,9.05,1.99,
PC,0.25,50000,0.55,7.7,3.74,
